code,name,market,market_cap,naver_group,best_sector,best_corr,2nd_sector,2nd_corr,3rd_sector,3rd_corr
122450,KX,KOSDAQ,1382,복합기업,중국내수식품,0.7628,K푸드_수출,0.7329,레저·여행,0.7208
069730,DSR제강,KOSPI,735,철강,건설,0.7627,해운,0.7478,디스플레이,0.7155
086670,비엠티,KOSDAQ,1549,기계,반도체_소재부품,0.7626,석유화학,0.76,반도체_대형,0.6645
307180,아이엘,KOSDAQ,2902,디스플레이장비및부품,전력기기,0.7617,자동차_완성차,0.7093,시멘트,0.7022
417970,모델솔루션,KOSDAQ,1388,기계,바이오_기술이전,0.7617,자동차_부품,0.7254,타이어,0.6809
016740,두올,KOSPI,1364,자동차부품,건자재,0.7615,석유화학,0.7554,2차전지_소재부품,0.7466
052860,아이앤씨,KOSDAQ,1241,반도체와반도체장비,반도체_장비,0.7614,디스플레이,0.7077,반도체_중소형,0.7053
037350,성도이엔지,KOSDAQ,1724,건설,전력기기,0.7612,건자재,0.7132,시멘트,0.7032
002100,경농,KOSPI,1909,화학,신재생에너지,0.7612,보험,0.7585,중국내수식품,0.7399
138360,앤로보틱스,KOSDAQ,2706,기계,자동차_완성차,0.761,자동차_부품,0.6794,2차전지_소재부품,0.6376
432470,케이엔에스,KOSDAQ,1234,전기제품,2차전지_소재부품,0.7608,자동차_완성차,0.7183,반도체_소재부품,0.7052
003200,일신방직,KOSPI,2741,"섬유,의류,신발,호화품",패션·의류,0.7603,내수식품,0.7378,레저·여행,0.7201
033270,유나이티드제약,KOSPI,3080,제약,물류·육운,0.76,내수식품,0.7405,신재생에너지,0.6977
263800,데이타솔루션,KOSDAQ,827,IT서비스,AI_인프라,0.7594,빅플랫폼,0.7186,레저·여행,0.6594
232680,라온로보틱스,KOSDAQ,2367,반도체와반도체장비,자동차_부품,0.7591,로봇,0.7368,우주·위성,0.7101
290740,액트로,KOSDAQ,1723,핸드셋,자동차_완성차,0.7591,자동차_부품,0.7474,우주·위성,0.6828
413630,씨피시스템,KOSDAQ,1362,기계,바이오_임상단계,0.759,2차전지_셀,0.7247,반도체_대형,0.6766
050110,캠시스,KOSDAQ,564,핸드셋,생활용품,0.7589,레저·여행,0.7277,게임,0.6946
217500,러셀,KOSDAQ,981,반도체와반도체장비,자동차_완성차,0.7584,자동차_부품,0.7339,로봇,0.6961
108380,대양전기공업,KOSDAQ,2645,조선,조선,0.7583,방산,0.6829,미용·에스테틱,0.6656
046970,우리로,KOSDAQ,3865,컴퓨터와주변기기,건설,0.7578,해운,0.5729,전력기기,0.5371
094820,일진파워,KOSDAQ,2869,건설,유통,0.7578,우주·위성,0.7576,건자재,0.7515
347000,센코,KOSDAQ,875,전자장비와기기,방산,0.7576,신재생에너지,0.6801,패션·의류,0.6614
226320,잇츠한불,KOSPI,2664,화장품,화장품_브랜드,0.7576,화장품_ODM,0.7513,K푸드_수출,0.7455
338840,와이바이오로직스,KOSDAQ,2968,생물공학,중소제약,0.7574,2차전지_셀,0.6639,바이오_기술이전,0.6568
036800,나이스정보통신,KOSDAQ,2785,상업서비스와공급품,핀테크·결제,0.7567,레저·여행,0.7474,은행,0.7344
307280,원바이오젠,KOSDAQ,515,건강관리장비와용품,자동차_부품,0.7566,유통,0.7371,2차전지_소재부품,0.7165
378340,필에너지,KOSDAQ,3883,전기제품,2차전지_소재부품,0.7566,석유화학,0.7141,반도체_소재부품,0.7041
101330,모베이스,KOSDAQ,1284,자동차부품,자동차_완성차,0.7562,우주·위성,0.7248,자동차_부품,0.6446
366030,공구우먼,KOSDAQ,1377,"섬유,의류,신발,호화품",반도체_대형,0.7557,자동차_부품,0.75,반도체_소재부품,0.7468
196450,코아시아씨엠,KOSDAQ,528,핸드셋,디스플레이,0.7553,건자재,0.672,원전,0.6679
388870,파로스아이바이오,KOSDAQ,987,생물공학,자동차_부품,0.7553,중소제약,0.6446,타이어,0.6018
047310,파워로직스,KOSDAQ,1817,핸드셋,자동차_완성차,0.7552,자동차_부품,0.6955,우주·위성,0.6898
093050,LF,KOSPI,7032,"섬유,의류,신발,호화품",통신,0.7552,건자재,0.7456,해운,0.7327
011560,세보엠이씨,KOSDAQ,2251,건설,석유화학,0.755,정유,0.7192,디스플레이,0.7035
484590,삼양컴텍,KOSDAQ,4533,우주항공과국방,방산,0.7543,조선,0.6439,게임,0.5781
042420,네오위즈홀딩스,KOSDAQ,1618,게임엔터테인먼트,미디어·콘텐츠,0.7542,레저·여행,0.733,게임,0.7084
065710,서호전기,KOSDAQ,2247,운송인프라,레저·여행,0.7541,미디어·콘텐츠,0.7272,내수식품,0.6942
018470,조일알미늄,KOSPI,1972,비철금속,철강,0.7541,건설,0.6983,신재생에너지,0.6534
007690,국도화학,KOSPI,3583,화학,물류·육운,0.754,레저·여행,0.7064,증권,0.706
024850,HLB이노베이션,KOSDAQ,7695,반도체와반도체장비,전력기기,0.7538,우주·위성,0.7399,반도체_장비,0.6913
004310,현대약품,KOSPI,2422,제약,자동차_완성차,0.7537,자동차_부품,0.6934,로봇,0.628
119830,아이텍,KOSDAQ,1828,반도체와반도체장비,반도체_중소형,0.7534,우주·위성,0.749,반도체_소재부품,0.6833
054210,이랜텍,KOSDAQ,2913,핸드셋,석유화학,0.7531,핀테크·결제,0.7339,2차전지_소재부품,0.7146
236200,슈프리마,KOSDAQ,3323,전자장비와기기,유통,0.7529,신재생에너지,0.7091,내수식품,0.6814
065440,이루온,KOSDAQ,1262,IT서비스,건설,0.7527,해운,0.5935,신재생에너지,0.5678
096250,와이즈넛,KOSDAQ,1264,소프트웨어,미디어·콘텐츠,0.7525,게임,0.7287,레저·여행,0.7096
041910,폴라리스AI파마,KOSDAQ,980,제약,신재생에너지,0.7524,B2B_IT서비스,0.6467,패션·의류,0.644
368770,파이버프로,KOSDAQ,7556,전자장비와기기,우주·위성,0.7521,전력기기,0.5903,자동차_부품,0.5794
079980,휴비스,KOSPI,1009,"섬유,의류,신발,호화품",신재생에너지,0.7517,레저·여행,0.6901,중국내수식품,0.6491
054950,제이브이엠,KOSDAQ,2865,건강관리장비와용품,조선,0.7516,레저·여행,0.7165,미용·에스테틱,0.6752
038110,에코플라스틱,KOSDAQ,1311,자동차부품,레저·여행,0.7512,물류·육운,0.7089,방산,0.6781
059090,미코,KOSDAQ,7936,반도체와반도체장비,화장품_브랜드,0.751,화장품_ODM,0.73,레저·여행,0.7237
078150,HB테크놀러지,KOSDAQ,4070,디스플레이장비및부품,반도체_장비,0.7507,IT부품,0.7259,반도체_중소형,0.7244
105330,케이엔더블유,KOSDAQ,1597,반도체와반도체장비,석유화학,0.7507,반도체_소재부품,0.7443,반도체_장비,0.713
064820,케이프,KOSDAQ,4246,증권,조선,0.7505,의료기기,0.4664,반도체_대형,0.4369
241770,메카로,KOSDAQ,3913,반도체와반도체장비,반도체_소재부품,0.7503,반도체_대형,0.7244,반도체_장비,0.7113
096630,에스코넥,KOSDAQ,540,핸드셋,신재생에너지,0.7495,B2B_IT서비스,0.7079,원전,0.707
012800,대창,KOSPI,1675,비철금속,철강,0.7494,B2B_IT서비스,0.5837,유통,0.5827
046210,HLB파나진,KOSDAQ,855,생명과학도구및서비스,전력기기,0.7491,건설,0.6053,우주·위성,0.5898
418470,KT밀리의서재,KOSDAQ,1008,출판,보험,0.7489,내수식품,0.7392,레저·여행,0.7224
089230,THE E&M,KOSDAQ,1327,양방향미디어와서비스,건설,0.7483,해운,0.7019,원전,0.6715
235980,메드팩토,KOSDAQ,1578,제약,타이어,0.7482,바이오_기술이전,0.7335,중소제약,0.7063
012210,삼미금속,KOSDAQ,3002,기계,의료기기,0.748,중소제약,0.6961,타이어,0.6595
270660,에브리봇,KOSDAQ,2234,가정용기기와용품,로봇,0.7476,의료기기,0.7179,자동차_부품,0.6585
028100,동아지질,KOSPI,2179,건설,내수식품,0.7474,B2B_IT서비스,0.6552,패션·의류,0.6011
163280,에어레인,KOSDAQ,749,화학,K푸드_수출,0.7474,방산,0.6132,미용·에스테틱,0.5793
451250,삐아,KOSDAQ,833,화장품,화장품_ODM,0.7473,화장품_브랜드,0.7243,K푸드_수출,0.724
348350,위드텍,KOSDAQ,1103,반도체와반도체장비,증권,0.7468,은행,0.744,AI_인프라,0.7377
025530,SJM홀딩스,KOSPI,547,자동차부품,레저·여행,0.7466,에너지유틸리티,0.7406,은행,0.7155
481070,에이유브랜즈,KOSDAQ,2375,"섬유,의류,신발,호화품",미디어·콘텐츠,0.7466,레저·여행,0.7452,화장품_ODM,0.7038
006120,SK디스커버리,KOSPI,9455,석유와가스,레저·여행,0.7465,빅플랫폼,0.7391,AI_인프라,0.7264
002960,한국쉘석유,KOSPI,6149,화학,에너지유틸리티,0.7463,보험,0.7257,화장품_브랜드,0.6631
123690,한국화장품,KOSPI,1354,화장품,레저·여행,0.7461,화장품_브랜드,0.7195,화장품_ODM,0.6628
035080,그래디언트,KOSDAQ,1218,인터넷과카탈로그소매,방산,0.746,엔터·음악,0.6799,보험,0.6721
314130,지놈앤컴퍼니,KOSDAQ,2560,제약,자동차_부품,0.746,자동차_완성차,0.7039,중소제약,0.6599
